<https://www.faceb>;rel="original"
,<http://web.archive.org/web/20110601005117/http://faceb/>;rel="memento first"; datetime="Wed, 01 Jun 2011 00:51:17 GMT"
,<http://web.archive.org/web/20110604152159/http://www.faceb/>;rel="memento"; datetime="Sat, 04 Jun 2011 15:21:59 GMT"
,<http://web.archive.org/web/20110615163108/http://www.faceb/>;rel="memento"; datetime="Wed, 15 Jun 2011 16:31:08 GMT"
,<http://web.archive.org/web/20110616132255/http://www.faceb/>;rel="memento"; datetime="Thu, 16 Jun 2011 13:22:55 GMT"
,<http://web.archive.org/web/20110618023916/http://www.faceb/>;rel="memento"; datetime="Sat, 18 Jun 2011 02:39:16 GMT"
,<http://web.archive.org/web/20110624204430/http://www.faceb/>;rel="memento"; datetime="Fri, 24 Jun 2011 20:44:30 GMT"
,<http://web.archive.org/web/20110626090712/http://www.faceb/>;rel="memento"; datetime="Sun, 26 Jun 2011 09:07:12 GMT"
,<http://web.archive.org/web/20110719191331/http://faceb/>;rel="memento"; datetime="Tue, 19 Jul 2011 19:13:31 GMT"
,<http://web.archive.org/web/20120129002723/http://faceb/>;rel="memento"; datetime="Sun, 29 Jan 2012 00:27:23 GMT"
,<http://web.archive.org/web/20120427052909/http://Faceb/>;rel="memento"; datetime="Fri, 27 Apr 2012 05:29:09 GMT"
,<http://web.archive.org/web/20121008101041/http://www.faceb/>;rel="memento"; datetime="Mon, 08 Oct 2012 10:10:41 GMT"
,<http://web.archive.org/web/20130128133400/http://faceb/>;rel="memento"; datetime="Mon, 28 Jan 2013 13:34:00 GMT"
,<http://web.archive.org/web/20130328025542/http://www.faceb.>;rel="memento"; datetime="Thu, 28 Mar 2013 02:55:42 GMT"
,<http://web.archive.org/web/20130329164902/http://faceb>;rel="memento"; datetime="Fri, 29 Mar 2013 16:49:02 GMT"
,<http://web.archive.org/web/20130331101404/https://www.faceb/>;rel="memento"; datetime="Sun, 31 Mar 2013 10:14:04 GMT"
,<http://web.archive.org/web/20130401172827/http://www.faceb>;rel="memento"; datetime="Mon, 01 Apr 2013 17:28:27 GMT"
,<http://web.archive.org/web/20130405011335/http://faceb>;rel="memento"; datetime="Fri, 05 Apr 2013 01:13:35 GMT"
,<http://web.archive.org/web/20130410193758/http://faceb>;rel="memento"; datetime="Wed, 10 Apr 2013 19:37:58 GMT"
,<http://web.archive.org/web/20130414140527/http://faceb>;rel="memento"; datetime="Sun, 14 Apr 2013 14:05:27 GMT"
,<http://web.archive.org/web/20130419083913/http://faceb>;rel="memento"; datetime="Fri, 19 Apr 2013 08:39:13 GMT"
,<http://web.archive.org/web/20130420105904/http://www.faceb>;rel="memento"; datetime="Sat, 20 Apr 2013 10:59:04 GMT"
,<http://web.archive.org/web/20130423164728/http://faceb>;rel="memento"; datetime="Tue, 23 Apr 2013 16:47:28 GMT"
,<http://web.archive.org/web/20130430210853/http://www.faceb>;rel="memento"; datetime="Tue, 30 Apr 2013 21:08:53 GMT"
,<http://web.archive.org/web/20130508103042/http://faceb>;rel="memento"; datetime="Wed, 08 May 2013 10:30:42 GMT"
,<http://web.archive.org/web/20130512161430/http://faceb/>;rel="memento"; datetime="Sun, 12 May 2013 16:14:30 GMT"
,<http://web.archive.org/web/20130515133414/http://faceb>;rel="memento"; datetime="Wed, 15 May 2013 13:34:14 GMT"
,<http://web.archive.org/web/20130517103854/http://faceb>;rel="memento"; datetime="Fri, 17 May 2013 10:38:54 GMT"
,<http://web.archive.org/web/20130520190533/http://faceb/>;rel="memento"; datetime="Mon, 20 May 2013 19:05:33 GMT"
,<http://web.archive.org/web/20130521030308/http://faceb>;rel="memento"; datetime="Tue, 21 May 2013 03:03:08 GMT"
,<http://web.archive.org/web/20130522161254/http://www.faceb/>;rel="memento"; datetime="Wed, 22 May 2013 16:12:54 GMT"
,<http://web.archive.org/web/20130602073522/http://www.faceb/>;rel="memento"; datetime="Sun, 02 Jun 2013 07:35:22 GMT"
,<http://web.archive.org/web/20130603133908/http://faceb>;rel="memento"; datetime="Mon, 03 Jun 2013 13:39:08 GMT"
,<http://web.archive.org/web/20130608170908/http://faceb>;rel="memento"; datetime="Sat, 08 Jun 2013 17:09:08 GMT"
,<http://web.archive.org/web/20130609091625/http://faceb>;rel="memento"; datetime="Sun, 09 Jun 2013 09:16:25 GMT"
,<http://web.archive.org/web/20130617132856/http://faceb>;rel="memento"; datetime="Mon, 17 Jun 2013 13:28:56 GMT"
,<http://web.archive.org/web/20130625111036/http://faceb>;rel="memento"; datetime="Tue, 25 Jun 2013 11:10:36 GMT"
,<http://web.archive.org/web/20130702034544/http://faceb>;rel="memento"; datetime="Tue, 02 Jul 2013 03:45:44 GMT"
,<http://web.archive.org/web/20130704215157/http://www.faceb>;rel="memento"; datetime="Thu, 04 Jul 2013 21:51:57 GMT"
,<http://web.archive.org/web/20130705175541/http://www.faceb>;rel="memento"; datetime="Fri, 05 Jul 2013 17:55:41 GMT"
,<http://web.archive.org/web/20130706184441/http://www.faceb>;rel="memento"; datetime="Sat, 06 Jul 2013 18:44:41 GMT"
,<http://web.archive.org/web/20130707232607/http://www.faceb>;rel="memento"; datetime="Sun, 07 Jul 2013 23:26:07 GMT"
,<http://web.archive.org/web/20130713090100/http://faceb>;rel="memento"; datetime="Sat, 13 Jul 2013 09:01:00 GMT"
,<http://web.archive.org/web/20130713141444/http://faceb>;rel="memento"; datetime="Sat, 13 Jul 2013 14:14:44 GMT"
,<http://web.archive.org/web/20130713173731/http://www.faceb>;rel="memento last"; datetime="Sat, 13 Jul 2013 17:37:31 GMT"
 , <http://mementoproxy.cs.odu.edu/aggr/timegate/https://www.faceb>;rel="timegate"
 , <http://mementoproxy.cs.odu.edu/aggr/timemap/link/1/https://www.faceb>;rel="self"; type="application/link-format"; from ="Wed, 01 Jun 2011 00:51:17 GMT";until="Sat, 13 Jul 2013 17:37:31 GMT"
